Model,Horizon,MSE,MAE,R2,RMSE,MSE_USD,MAE_USD,RMSE_USD
DLinear,5,0.08589658,0.06630394,0.99583024,0.2930812,219.2201792872525,2.5120078399572767,14.80608588679846
DLinear,20,0.2917211651802063,0.1251542270183563,0.9857677221298218,0.5401121973991394,728.3087932769342,4.803110011194811,26.98719683992641
DLinear,60,0.7468866109848022,0.2195964455604553,0.9631347060203552,0.8642260432243347,1907.551442425112,8.465338049621788,43.67552452375485
DLinear,120,1.3406610488891602,0.3133497238159179,0.9327744841575624,1.1578692197799685,3350.921206218455,12.074293910855165,57.8871419765949
DLinear,240,2.387242794036865,0.4488740563392639,0.8772092461585999,1.5450705289840698,5962.776337663029,17.565953853389644,77.21901538910626
DLinear,5,0.0859690457582473,0.0664075091481208,0.9958267211914062,0.2932047843933105,219.45051580045268,2.516819123966016,14.813862285050874
iTransformer,240,2.724548578262329,0.4434256851673126,0.8598595261573792,1.650620698928833,6593.3092662247645,17.506795451591284,81.1991949850783
iTransformer,20,0.3011695146560669,0.127972662448883,0.9853067398071288,0.5487891435623169,774.1905861837973,5.127023228005326,27.824280515114804
iTransformer,60,0.814966082572937,0.2157495319843292,0.9597744345664978,0.9027547240257264,2007.511874670684,8.480554598221824,44.80526614886562
iTransformer,5,0.0990508794784545,0.0708596184849739,0.9951916933059692,0.3147234916687011,257.1737221482695,2.807948182798396,16.036636871497386
iTransformer,120,1.446757674217224,0.3184077143669128,0.9274544715881348,1.202812433242798,3721.864173102402,12.837164099644587,61.00708297486778
GCFormer,60,0.7780809998512268,0.2201448380947113,0.9615949988365172,0.8820890188217163,2031.440318672764,8.698365091044645,45.07150228994773
GCFormer,20,0.2817656397819519,0.1244744509458541,0.9862534403800964,0.5308160185813904,719.3293712439796,4.851803162815235,26.82031638970688
GCFormer,240,2.5484049320220947,0.4530033767223358,0.8689196705818176,1.5963724851608276,6182.550136337017,17.736131938358678,78.6291939189066
GCFormer,120,1.4319446086883545,0.3174697458744049,0.9281972050666808,1.196638822555542,3834.6539863773423,12.65013901187697,61.92458305372223
GCFormer,5,0.0830693393945694,0.0644875168800354,0.9959675073623657,0.2882175147533417,217.6845785511687,2.5004721945309942,14.75413767562065
